date,count,year,month,NAME,state,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,total_population,age_60_69_ratio,Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays,age_under_5_ratio,age_5_9_ratio,age_10_19_ratio,age_20_29_ratio,age_30_39_ratio,age_40_49_ratio,age_50_59_ratio,age_70_79_ratio,age_80_84_ratio,age_85_plus_ratio
2019-06-01,161.0,2019,6,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"June, 2019",59.5,47.8,71.2,4.69,137.0,10.0,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2019-07-01,216.0,2019,7,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"July, 2019",68.3,56.3,80.4,3.31,11.0,158.0,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2019-08-01,187.0,2019,8,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"August, 2019",64.5,53.2,75.7,4.8,48.0,86.0,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2019-09-01,181.0,2019,9,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"September, 2019",55.3,44.6,66.0,3.46,226.0,,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2019-10-01,141.0,2019,10,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"October, 2019",46.1,37.1,55.1,5.73,515.0,,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2019-11-01,130.0,2019,11,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"November, 2019",29.6,22.1,37.0,4.08,970.0,,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2019-12-01,123.0,2019,12,Maine,23.0,62813.0,64874.0,151079.0,156462.0,159657.0,160070.0,194682.0,201020.0,127433.0,31469.0,11055.0,1344212.0,0.14954486345903772,"December, 2019",22.8,14.7,30.8,3.75,1202.0,,0.04672849223188009,0.04826173252433396,0.11239224169996995,0.11639681835900885,0.11877367558093516,0.11908091878364424,0.14482983338937608,0.09480126646689659,0.023410741757996508,0.00822414916694688
2020-01-01,131.0,2020,1,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"January, 2020",20.8,12.7,29.0,3.06,1253.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-02-01,126.0,2020,2,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"February, 2020",20.1,9.5,30.7,2.85,1134.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-03-01,125.0,2020,3,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"March, 2020",29.6,19.6,39.7,2.7,976.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
